Year,Month,HoChiMinhcity,
2019,4,28607,
2019,5,22981,
2019,6,25284,
2019,7,28090,
2019,8,28748,
2019,9,32089,
2019,10,42695,
2019,11,40294,
2019,12,43549.1,
2020,1,52336,
2020,2,59511.869,
2020,3,30490,
2020,4,8987,
2020,5,23231,
2020,6,26253,
2020,7,27244,
2020,8,20707,
2020,9,27036,
2020,10,43574,
2020,11,41284,
2020,12,42381,
2021,1,43740,
2021,2,56105,
2021,3,49309,
2021,4,34424,
2021,5,26453,
2021,6,28878.3,
2021,7,29968.4,
2021,8,22777.7,
2021,9,29739.6,
2021,10,40509,
2021,11,37975,
2021,12,51842,
2022,1,70757,
2022,2,66007,
2022,3,52681,
2022,4,53162,
2022,5,50887,
2022,6,49262,
2022,7,51426,
2022,8,48250,
2022,9,47828,
2022,10,61867,
2022,11,49459,
2022,12,61330,
2023,1,75508,
2023,2,66166,
2023,3,56080,
2023,4,44271,
2023,5,43025,
2023,6,43058,
2023,7,50341,
2023,8,44837,
2023,9,43447,
2023,10,62021,