Year,Month,Northern
2019,4,6428
2019,5,4751
2019,6,5763
2019,7,7065
2019,8,6289
2019,9,9368
2019,10,14077
2019,11,10322
2019,12,10259
2020,1,11686
2020,2,19169
2020,3,9142
2020,4,7313.6
2020,5,5593
2020,6,6155
2020,7,6894
2020,8,5962
2020,9,8744
2020,10,16025
2020,11,13222
2020,12,12513
2021,1,11611
2021,2,19161
2021,3,20030
2021,4,11490
2021,5,6811
2021,6,7228
2021,7,7722
2021,8,4068
2021,9,6769
2021,10,20541
2021,11,15211
2021,12,18007
2022,1,20475
2022,2,23164
2022,3,18555
2022,4,15878
2022,5,15765
2022,6,15936
2022,7,17327
2022,8,17473
2022,9,19648
2022,10,29983
2022,11,20377
2022,12,19177
2023,1,26966
2023,2,30543
2023,3,26362
2023,4,16775
2023,5,15812
2023,6,15127
2023,7,18292
2023,8,19017
2023,9,21560
2023,10,36851