Year,Month,Southwest
2019,4,6071
2019,5,4425
2019,6,6046
2019,7,5928
2019,8,5602
2019,9,6295
2019,10,10966
2019,11,9074
2019,12,9728
2020,1,12595
2020,2,13143
2020,3,7913
2020,4,6723.6
2020,5,5603
2020,6,5590
2020,7,5972
2020,8,5234
2020,9,6175
2020,10,9706
2020,11,8850
2020,12,9922
2021,1,10220
2021,2,14081
2021,3,10897
2021,4,7990
2021,5,7124
2021,6,6396
2021,7,7035.6
2021,8,5628.48
2021,9,6472.752
2021,10,8477
2021,11,7176
2021,12,10163
2022,1,17212
2022,2,16274
2022,3,12679
2022,4,13232
2022,5,13343
2022,6,12057
2022,7,12828
2022,8,12139
2022,9,12613
2022,10,14556
2022,11,12236
2022,12,14490
2023,1,18709
2023,2,15419
2023,3,14000
2023,4,11527
2023,5,11412
2023,6,11776
2023,7,12779
2023,8,12614
2023,9,12825
2023,10,17987