,,a,b,c
PL-03 ,C11, 2.70 , 3.70 , 4.50 
PL-04 ,C11, 1.70 , 2.20 , 3.20 
PL-05 ,C11, 2.50 , 3.40 , 4.10 
PL-09 ,C11, 2.10 , 2.70 , 3.60 
PL-10 ,C11, 2.10 , 2.80 , 3.60 
PL-13 ,C11, 2.50 , 3.40 , 4.10 
PL-15 ,C11, 2.40 , 3.10 , 3.70 
PL-20 ,C11, 2.60 , 3.40 , 4.00 
PL-21 ,C11, 2.20 , 3.10 , 3.80 
PL-22 ,C11, 2.40 , 3.40 , 4.20 
PL-03 ,C12, 1.90 , 2.40 , 3.20 
PL-04 ,C12, 1.90 , 2.70 , 3.50 
PL-05 ,C12, 2.40 , 3.00 , 3.70 
PL-09 ,C12, 2.60 , 3.50 , 4.30 
PL-10 ,C12, 2.40 , 3.20 , 3.90 
PL-13 ,C12, 2.30 , 3.10 , 3.90 
PL-15 ,C12, 1.70 , 2.30 , 3.20 
PL-20 ,C12, 2.30 , 3.00 , 3.70 
PL-21 ,C12, 2.10 , 2.90 , 3.90 
PL-22 ,C12, 3.00 , 4.00 , 4.40 
PL-03 ,C13, 2.10 , 2.80 , 3.70 
PL-04 ,C13, 2.10 , 3.00 , 3.90 
PL-05 ,C13, 1.90 , 2.70 , 3.60 
PL-09 ,C13, 1.80 , 2.50 , 3.40 
PL-10 ,C13, 1.80 , 2.40 , 3.20 
PL-13 ,C13, 2.80 , 3.60 , 4.20 
PL-15 ,C13, 2.20 , 3.00 , 3.90 
PL-20 ,C13, 2.10 , 2.90 , 3.90 
PL-21 ,C13, 1.50 , 2.20 , 3.20 
PL-22 ,C13, 2.30 , 3.30 , 4.10 
PL-03 ,C14, 2.70 , 3.60 , 4.30 
PL-04 ,C14, 1.80 , 2.50 , 3.40 
PL-05 ,C14, 2.90 , 3.80 , 4.40 
PL-09 ,C14, 2.80 , 3.80 , 4.30 
PL-10 ,C14, 2.00 , 2.90 , 3.70 
PL-13 ,C14, 2.50 , 3.30 , 4.00 
PL-15 ,C14, 1.90 , 2.60 , 3.50 
PL-20 ,C14, 1.80 , 2.60 , 3.50 
PL-21 ,C14, 2.10 , 2.90 , 3.80 
PL-22 ,C14, 2.40 , 3.20 , 3.90 
PL-03 ,C21, 2.30 , 3.20 , 3.90 
PL-04 ,C21, 2.30 , 3.00 , 3.70 
PL-05 ,C21, 2.20 , 3.20 , 4.00 
PL-09 ,C21, 2.60 , 3.60 , 4.40 
PL-10 ,C21, 2.20 , 2.90 , 3.70 
PL-13 ,C21, 2.40 , 3.30 , 4.10 
PL-15 ,C21, 1.80 , 2.50 , 3.50 
PL-20 ,C21, 1.70 , 2.50 , 3.50 
PL-21 ,C21, 2.70 , 3.60 , 4.50 
PL-22 ,C21, 2.50 , 3.30 , 4.00 
PL-03 ,C22, 2.80 , 3.70 , 4.20 
PL-04 ,C22, 2.40 , 3.20 , 4.00 
PL-05 ,C22, 3.00 , 3.90 , 4.50 
PL-09 ,C22, 2.40 , 3.30 , 4.10 
PL-10 ,C22, 2.50 , 3.40 , 4.10 
PL-13 ,C22, 2.00 , 2.80 , 3.70 
PL-15 ,C22, 2.80 , 3.70 , 4.30 
PL-20 ,C22, 1.90 , 2.70 , 3.60 
PL-21 ,C22, 2.50 , 3.40 , 4.20 
PL-22 ,C22, 2.20 , 3.00 , 3.80 
PL-03 ,C23, 1.60 , 2.40 , 3.40 
PL-04 ,C23, 1.40 , 2.20 , 3.10 
PL-05 ,C23, 2.90 , 3.90 , 4.50 
PL-09 ,C23, 2.40 , 3.30 , 4.20 
PL-10 ,C23, 1.80 , 2.30 , 3.10 
PL-13 ,C23, 1.90 , 2.60 , 3.60 
PL-15 ,C23, 1.80 , 2.70 , 3.60 
PL-20 ,C23, 1.90 , 2.70 , 3.60 
PL-21 ,C23, 1.90 , 2.70 , 3.70 
PL-22 ,C23, 2.10 , 2.60 , 3.30 
PL-03 ,C24, 1.90 , 2.80 , 3.70 
PL-04 ,C24, 1.60 , 2.40 , 3.40 
PL-05 ,C24, 2.00 , 2.90 , 3.80 
PL-09 ,C24, 2.00 , 2.80 , 3.70 
PL-10 ,C24, 2.20 , 3.20 , 4.00 
PL-13 ,C24, 2.00 , 2.90 , 3.80 
PL-15 ,C24, 2.20 , 3.20 , 4.10 
PL-20 ,C24, 2.00 , 3.00 , 3.90 
PL-21 ,C24, 2.10 , 2.60 , 3.30 
PL-22 ,C24, 2.20 , 2.90 , 3.70 
PL-03 ,C31, 2.30 , 3.10 , 3.90 
PL-04 ,C31, 2.10 , 3.00 , 3.80 
PL-05 ,C31, 2.10 , 3.00 , 3.80 
PL-09 ,C31, 1.70 , 2.30 , 3.30 
PL-10 ,C31, 2.30 , 3.20 , 3.90 
PL-13 ,C31, 2.90 , 3.80 , 4.40 
PL-15 ,C31, 2.00 , 2.80 , 3.60 
PL-20 ,C31, 2.80 , 3.60 , 4.10 
PL-21 ,C31, 2.30 , 3.30 , 4.10 
PL-22 ,C31, 2.90 , 3.90 , 4.60 
PL-03 ,C32, 2.70 , 3.50 , 4.10 
PL-04 ,C32, 2.80 , 3.60 , 4.20 
PL-05 ,C32, 1.70 , 2.10 , 3.00 
PL-09 ,C32, 2.10 , 2.90 , 3.70 
PL-10 ,C32, 1.90 , 2.60 , 3.40 
PL-13 ,C32, 2.20 , 2.80 , 3.50 
PL-15 ,C32, 1.90 , 2.60 , 3.40 
PL-20 ,C32, 2.60 , 3.40 , 4.10 
PL-21 ,C32, 2.50 , 3.30 , 4.20 
PL-22 ,C32, 2.30 , 3.20 , 4.00 
PL-03 ,C33, 2.20 , 3.20 , 4.10 
PL-04 ,C33, 1.80 , 2.50 , 3.40 
PL-05 ,C33, 2.00 , 3.00 , 3.90 
PL-09 ,C33, 2.80 , 3.60 , 4.10 
PL-10 ,C33, 1.70 , 2.40 , 3.40 
PL-13 ,C33, 2.00 , 2.80 , 3.70 
PL-15 ,C33, 2.80 , 3.70 , 4.40 
PL-20 ,C33, 2.70 , 3.70 , 4.40 
PL-21 ,C33, 2.30 , 3.10 , 3.80 
PL-22 ,C33, 2.40 , 3.20 , 4.00 
PL-03 ,C34, 2.00 , 2.80 , 3.60 
PL-04 ,C34, 1.80 , 2.40 , 3.30 
PL-05 ,C34, 1.90 , 2.90 , 3.70 
PL-09 ,C34, 2.30 , 3.20 , 4.10 
PL-10 ,C34, 2.90 , 3.80 , 4.40 
PL-13 ,C34, 2.60 , 3.40 , 4.00 
PL-15 ,C34, 2.00 , 2.80 , 3.70 
PL-20 ,C34, 2.00 , 2.50 , 3.30 
PL-21 ,C34, 2.80 , 3.80 , 4.50 
PL-22 ,C34, 1.70 , 2.60 , 3.50 
PL-03 ,C41, 1.80 , 2.50 , 3.30 
PL-04 ,C41, 2.80 , 3.60 , 4.20 
PL-05 ,C41, 1.70 , 2.50 , 3.50 
PL-09 ,C41, 2.40 , 3.30 , 4.10 
PL-10 ,C41, 1.90 , 2.80 , 3.80 
PL-13 ,C41, 1.70 , 2.60 , 3.40 
PL-15 ,C41, 2.50 , 3.30 , 4.00 
PL-20 ,C41, 2.20 , 3.00 , 3.70 
PL-21 ,C41, 2.70 , 3.60 , 4.20 
PL-22 ,C41, 2.20 , 3.10 , 3.80 
PL-03 ,C42, 2.20 , 3.10 , 4.00 
PL-04 ,C42, 2.20 , 3.10 , 4.00 
PL-05 ,C42, 2.00 , 2.80 , 3.60 
PL-09 ,C42, 1.80 , 2.30 , 3.20 
PL-10 ,C42, 2.50 , 3.40 , 4.20 
PL-13 ,C42, 2.20 , 3.20 , 4.10 
PL-15 ,C42, 2.40 , 3.10 , 3.90 
PL-20 ,C42, 1.90 , 2.80 , 3.60 
PL-21 ,C42, 1.70 , 2.60 , 3.50 
PL-22 ,C42, 2.30 , 3.20 , 4.00 
PL-03 ,C43, 2.40 , 3.10 , 3.90 
PL-04 ,C43, 2.10 , 2.70 , 3.50 
PL-05 ,C43, 2.20 , 3.10 , 4.00 
PL-09 ,C43, 1.90 , 2.80 , 3.70 
PL-10 ,C43, 2.80 , 3.60 , 4.20 
PL-13 ,C43, 2.40 , 3.10 , 3.90 
PL-15 ,C43, 2.50 , 3.40 , 4.20 
PL-20 ,C43, 2.80 , 3.70 , 4.30 
PL-21 ,C43, 2.50 , 3.30 , 4.20 
PL-22 ,C43, 2.50 , 3.40 , 4.10 
PL-03 ,C44, 1.60 , 2.10 , 3.00 
PL-04 ,C44, 2.80 , 3.60 , 4.10 
PL-05 ,C44, 2.20 , 3.20 , 4.00 
PL-09 ,C44, 2.20 , 2.80 , 3.60 
PL-10 ,C44, 3.00 , 4.00 , 4.50 
PL-13 ,C44, 2.80 , 3.60 , 4.20 
PL-15 ,C44, 1.90 , 2.60 , 3.50 
PL-20 ,C44, 1.80 , 2.50 , 3.40 
PL-21 ,C44, 2.30 , 3.20 , 4.10 
PL-22 ,C44, 2.50 , 3.30 , 4.10 